variable,horizon,lower,median,upper,model
productivity,8,0.0184,0.1107,0.2122,bayesian_fd
productivity,9,0.0249,0.1246,0.2288,bayesian_fd
productivity,10,0.0283,0.1255,0.2344,bayesian_fd
productivity,11,0.0208,0.1223,0.2372,bayesian_fd
productivity,12,0.0066,0.1143,0.2352,bayesian_fd
productivity,13,-0.0132,0.0986,0.227,bayesian_fd
productivity,14,-0.0339,0.0848,0.2145,bayesian_fd
productivity,15,-0.0534,0.0662,0.1972,bayesian_fd
productivity,16,-0.0745,0.0492,0.1801,bayesian_fd
productivity,17,-0.0981,0.0288,0.1606,bayesian_fd
productivity,18,-0.1215,0.0111,0.1416,bayesian_fd
productivity,19,-0.143,-0.0092,0.1262,bayesian_fd
productivity,20,-0.1632,-0.0265,0.1131,bayesian_fd
productivity,21,-0.1787,-0.0409,0.0982,bayesian_fd
productivity,22,-0.1942,-0.0521,0.0852,bayesian_fd
productivity,23,-0.2068,-0.0636,0.0718,bayesian_fd
productivity,24,-0.2163,-0.0722,0.0636,bayesian_fd
productivity,25,-0.2255,-0.0796,0.0559,bayesian_fd
productivity,26,-0.2325,-0.0857,0.0505,bayesian_fd
productivity,27,-0.2378,-0.0896,0.0492,bayesian_fd
productivity,28,-0.2391,-0.0925,0.0492,bayesian_fd
productivity,29,-0.2413,-0.0915,0.0469,bayesian_fd
productivity,30,-0.2394,-0.0916,0.0429,bayesian_fd
productivity,31,-0.2396,-0.0909,0.045,bayesian_fd
productivity,32,-0.2408,-0.0874,0.0488,bayesian_fd
productivity,33,-0.2377,-0.0826,0.0541,bayesian_fd
productivity,34,-0.2319,-0.0779,0.0582,bayesian_fd
productivity,35,-0.2301,-0.0745,0.0616,bayesian_fd
productivity,36,-0.2267,-0.0707,0.0645,bayesian_fd
productivity,37,-0.2253,-0.0671,0.0716,bayesian_fd
productivity,38,-0.2218,-0.0637,0.0764,bayesian_fd
productivity,39,-0.2178,-0.0616,0.0805,bayesian_fd
productivity,40,-0.2132,-0.0575,0.0843,bayesian_fd
TFP,1,-0.006,0.0664,0.1409,bayesian_fd
TFP,2,0.0121,0.0807,0.1484,bayesian_fd
TFP,3,-0.0103,0.0591,0.1309,bayesian_fd
TFP,4,-0.0362,0.0394,0.1149,bayesian_fd
TFP,5,-0.0645,0.0141,0.0973,bayesian_fd
TFP,6,-0.0911,-0.0103,0.0806,bayesian_fd
TFP,7,-0.1206,-0.0322,0.0635,bayesian_fd
TFP,8,-0.1429,-0.0513,0.0461,bayesian_fd
TFP,9,-0.1651,-0.0678,0.0331,bayesian_fd
TFP,10,-0.1822,-0.0806,0.0211,bayesian_fd
TFP,11,-0.1983,-0.0934,0.0145,bayesian_fd
TFP,12,-0.2101,-0.1015,0.0091,bayesian_fd
TFP,13,-0.2188,-0.1083,0.0045,bayesian_fd
TFP,14,-0.2245,-0.1147,3e-04,bayesian_fd
TFP,15,-0.2299,-0.1155,-0.0021,bayesian_fd
TFP,16,-0.2344,-0.1181,-0.001,bayesian_fd
TFP,17,-0.2381,-0.118,0.0025,bayesian_fd
TFP,18,-0.2408,-0.1173,0.005,bayesian_fd
TFP,19,-0.2392,-0.1149,0.0066,bayesian_fd
TFP,20,-0.2404,-0.113,0.0086,bayesian_fd
TFP,21,-0.2358,-0.1091,0.0109,bayesian_fd
TFP,22,-0.2339,-0.1057,0.0139,bayesian_fd
TFP,23,-0.2269,-0.1025,0.0153,bayesian_fd
TFP,24,-0.2245,-0.0978,0.0172,bayesian_fd
TFP,25,-0.2217,-0.092,0.0201,bayesian_fd
TFP,26,-0.2182,-0.0861,0.0212,bayesian_fd
TFP,27,-0.213,-0.0819,0.0213,bayesian_fd
TFP,28,-0.2095,-0.0801,0.0204,bayesian_fd
TFP,29,-0.2045,-0.0776,0.0222,bayesian_fd
TFP,30,-0.1986,-0.0755,0.0243,bayesian_fd
TFP,31,-0.1955,-0.0704,0.0267,bayesian_fd
TFP,32,-0.1908,-0.0673,0.0297,bayesian_fd
TFP,33,-0.1886,-0.0627,0.0294,bayesian_fd
TFP,34,-0.1841,-0.0601,0.0306,bayesian_fd
