variable,horizon,lower,median,upper,model
investment,11,-0.0664752793006265,0.592698644374376,1.28204236233839,"Replication, Frequency Domain"
investment,12,0.0411045451409777,0.675444644930236,1.352251427717,"Replication, Frequency Domain"
investment,13,0.113727657981765,0.70534229353315,1.36021064236723,"Replication, Frequency Domain"
investment,14,0.141201437813381,0.703405855138727,1.33185900987027,"Replication, Frequency Domain"
investment,15,0.132394009585449,0.671709447783065,1.26729888348667,"Replication, Frequency Domain"
investment,16,0.107220042714633,0.615320429141496,1.19247168467522,"Replication, Frequency Domain"
investment,17,0.0653691525358926,0.548442476904357,1.10619978123377,"Replication, Frequency Domain"
investment,18,0.0184354679789866,0.474289534153263,1.00508207753825,"Replication, Frequency Domain"
investment,19,-0.0378864311539822,0.391609650127909,0.912137991873372,"Replication, Frequency Domain"
investment,20,-0.0945905775125745,0.315853264163478,0.818558252756402,"Replication, Frequency Domain"
investment,21,-0.154461032568852,0.243574197507691,0.733765872277546,"Replication, Frequency Domain"
investment,22,-0.203138319377129,0.1772100359335,0.654826506468632,"Replication, Frequency Domain"
investment,23,-0.254359277732082,0.116535257967715,0.570851548536441,"Replication, Frequency Domain"
investment,24,-0.292895273693684,0.0671933431121963,0.506699982837447,"Replication, Frequency Domain"
investment,25,-0.327490182711579,0.026964765108592,0.448560983457237,"Replication, Frequency Domain"
investment,26,-0.35692051234594,-0.00639149227066505,0.397432862078391,"Replication, Frequency Domain"
investment,27,-0.381475465724595,-0.033854613683534,0.355873759408831,"Replication, Frequency Domain"
investment,28,-0.402914441634227,-0.0565111319843326,0.3201571575659,"Replication, Frequency Domain"
investment,29,-0.413027854127356,-0.0724790665542912,0.292721117975341,"Replication, Frequency Domain"
investment,30,-0.424606307869295,-0.0830538534517475,0.268136068733897,"Replication, Frequency Domain"
investment,31,-0.433276545141237,-0.0882158882198631,0.245974292648765,"Replication, Frequency Domain"
investment,32,-0.439894783314454,-0.0935948911218346,0.239785337230009,"Replication, Frequency Domain"
investment,33,-0.442157900454764,-0.095425836166644,0.232024131087411,"Replication, Frequency Domain"
investment,34,-0.443659621156187,-0.0954227096647271,0.228574233467174,"Replication, Frequency Domain"
investment,35,-0.442156087402076,-0.0951591437593087,0.223816268179285,"Replication, Frequency Domain"
investment,36,-0.439789505221789,-0.0934253972658782,0.227708901117237,"Replication, Frequency Domain"
investment,37,-0.435944813205419,-0.0908213844473925,0.227603847093317,"Replication, Frequency Domain"
investment,38,-0.431784976723288,-0.0868416208906107,0.23106676283403,"Replication, Frequency Domain"
investment,39,-0.432381537249835,-0.0838712596606936,0.234193836025726,"Replication, Frequency Domain"
investment,40,-0.428136944229677,-0.0821181511393946,0.239610401124319,"Replication, Frequency Domain"
labor_share,1,0.119695312405359,0.230596763148444,0.338129074284646,"Replication, Frequency Domain"
labor_share,2,0.0541059778932343,0.151654620603748,0.244581941124274,"Replication, Frequency Domain"
labor_share,3,-0.0343748473589291,0.0580629683727573,0.14712415649203,"Replication, Frequency Domain"
labor_share,4,-0.126796253919798,-0.041778349863592,0.0420357371260736,"Replication, Frequency Domain"
labor_share,5,-0.198416945330476,-0.121644119911145,-0.0416653065312366,"Replication, Frequency Domain"
labor_share,6,-0.249358829267335,-0.177838353743333,-0.103560494248448,"Replication, Frequency Domain"
labor_share,7,-0.280454176396289,-0.210648756133219,-0.140358734726715,"Replication, Frequency Domain"
labor_share,8,-0.293164051744904,-0.223604499764156,-0.155343108897241,"Replication, Frequency Domain"
labor_share,9,-0.292230889186255,-0.222223100535055,-0.152758098811707,"Replication, Frequency Domain"
labor_share,10,-0.279504055904727,-0.207970132973731,-0.134454071079645,"Replication, Frequency Domain"
labor_share,11,-0.26218189986418,-0.184764751646781,-0.10905813805246,"Replication, Frequency Domain"
labor_share,12,-0.237912111910812,-0.158287399956965,-0.0783860946656045,"Replication, Frequency Domain"
labor_share,13,-0.213365587632643,-0.129929644918703,-0.0456182814959022,"Replication, Frequency Domain"
labor_share,14,-0.188326551357318,-0.101419543748834,-0.014543728568341,"Replication, Frequency Domain"
labor_share,15,-0.161781937821806,-0.0746540151071705,0.013114479817026,"Replication, Frequency Domain"
labor_share,16,-0.138271586212283,-0.0495726306647679,0.0395179585030841,"Replication, Frequency Domain"
labor_share,17,-0.115263010927263,-0.0283521736635156,0.0606207970382142,"Replication, Frequency Domain"
labor_share,18,-0.0943759125555045,-0.0103500609526201,0.0772672303555677,"Replication, Frequency Domain"
labor_share,19,-0.0776798581795075,0.00457914541531949,0.0895218373490692,"Replication, Frequency Domain"
labor_share,20,-0.0636309501384932,0.0146108349022598,0.0986102331078324,"Replication, Frequency Domain"
labor_share,21,-0.0529623535613975,0.0224580133860223,0.10366635640464,"Replication, Frequency Domain"
labor_share,22,-0.0443548873279221,0.0272614920768835,0.105512040033653,"Replication, Frequency Domain"
labor_share,23,-0.0381558859736688,0.0305631865814061,0.104780358123887,"Replication, Frequency Domain"
labor_share,24,-0.0341139318104779,0.0318308680889929,0.102442047778882,"Replication, Frequency Domain"
labor_share,25,-0.0313511098939889,0.0314580219880183,0.0998957458179147,"Replication, Frequency Domain"
labor_share,26,-0.0305796386062641,0.0301058988293865,0.0968631848959443,"Replication, Frequency Domain"
labor_share,27,-0.0303706622729045,0.0272005870318954,0.093512266167929,"Replication, Frequency Domain"
labor_share,28,-0.0313721465348118,0.0239939189708972,0.0879733479769654,"Replication, Frequency Domain"
labor_share,29,-0.03297009299825,0.0206884127911971,0.0825258009901097,"Replication, Frequency Domain"
labor_share,30,-0.0355805190176824,0.0174582427372835,0.0774009446298219,"Replication, Frequency Domain"
labor_share,31,-0.0385083823576368,0.0137709178693573,0.072782199874736,"Replication, Frequency Domain"
labor_share,32,-0.0407818552317681,0.00986871139059956,0.0682963004902798,"Replication, Frequency Domain"
labor_share,33,-0.0428587584351174,0.00658050930576242,0.0627936385329976,"Replication, Frequency Domain"
labor_share,34,-0.0454507634374669,0.00389363190596732,0.0586454548376666,"Replication, Frequency Domain"
labor_share,35,-0.0475638674414,0.00125360591432198,0.0549693948388215,"Replication, Frequency Domain"
labor_share,36,-0.0497948348617964,-0.000680396740228254,0.0513213376670598,"Replication, Frequency Domain"
labor_share,37,-0.0516799090763912,-0.00241206364625989,0.0483023052158459,"Replication, Frequency Domain"
labor_share,38,-0.0529704952046924,-0.00380547337010896,0.0456724378267139,"Replication, Frequency Domain"
labor_share,39,-0.0542777523497369,-0.0051173751676022,0.0439688383079536,"Replication, Frequency Domain"
labor_share,40,-0.0551245322192162,-0.00635786371713239,0.0428290209980948,"Replication, Frequency Domain"
output,1,-0.61168535416023,-0.549723521063594,-0.481428103522336,"Replication, Frequency Domain"
output,2,-0.753640019984781,-0.668983705005634,-0.579945184790052,"Replication, Frequency Domain"
output,3,-0.772611841273261,-0.657233250988775,-0.53443515526595,"Replication, Frequency Domain"
output,4,-0.720661713886115,-0.571619370030874,-0.419930384846204,"Replication, Frequency Domain"
output,5,-0.632139487198553,-0.458253179288842,-0.280582083494823,"Replication, Frequency Domain"
output,6,-0.537259897206262,-0.339713618698322,-0.137242418942042,"Replication, Frequency Domain"
output,7,-0.444306981874092,-0.227001340634678,-0.00521771926512003,"Replication, Frequency Domain"
output,8,-0.361216590682398,-0.129963134627966,0.10467858534894,"Replication, Frequency Domain"
output,9,-0.286478396345986,-0.0525126355244894,0.192202024214606,"Replication, Frequency Domain"
output,10,-0.229421726571681,0.00839244563592619,0.259780419378232,"Replication, Frequency Domain"
output,11,-0.183994209986961,0.05227759042588,0.308279679185588,"Replication, Frequency Domain"
output,12,-0.151635988187327,0.0837189117998453,0.340916140662573,"Replication, Frequency Domain"
output,13,-0.132324115243524,0.101906568103374,0.359316750413474,"Replication, Frequency Domain"
output,14,-0.121624471450479,0.108731293155176,0.366423142912869,"Replication, Frequency Domain"
output,15,-0.114919753145018,0.111219257550313,0.361426291251053,"Replication, Frequency Domain"
output,16,-0.115350716399841,0.104297199853224,0.350145678995961,"Replication, Frequency Domain"
output,17,-0.122097163929945,0.0931074289676497,0.336826598432697,"Replication, Frequency Domain"
output,18,-0.129045287734175,0.0767702512494192,0.321976435601986,"Replication, Frequency Domain"
output,19,-0.13870443534086,0.0608562135357496,0.302898557599866,"Replication, Frequency Domain"
output,20,-0.152577007770162,0.0463202851641914,0.286910427340966,"Replication, Frequency Domain"
output,21,-0.167265650823559,0.0332299585581239,0.268997573201913,"Replication, Frequency Domain"
output,22,-0.180029236431464,0.0194958016046635,0.251528625150915,"Replication, Frequency Domain"
output,23,-0.190504198567711,0.0073921774952811,0.23610608362511,"Replication, Frequency Domain"
output,24,-0.201037483469472,-0.00214222611769439,0.220833361395135,"Replication, Frequency Domain"
output,25,-0.209763974810985,-0.0112793361364424,0.206467393510636,"Replication, Frequency Domain"
output,26,-0.219107753412003,-0.0209728427140788,0.193401964451617,"Replication, Frequency Domain"
output,27,-0.227872087984163,-0.0275475139074331,0.185493684350156,"Replication, Frequency Domain"
output,28,-0.23454115965979,-0.0338061079031111,0.176067338163328,"Replication, Frequency Domain"
output,29,-0.240246422660409,-0.039271498099973,0.169325860259847,"Replication, Frequency Domain"
output,30,-0.246978568234338,-0.0433099875073192,0.163885204431771,"Replication, Frequency Domain"
output,31,-0.252212650751779,-0.0465466562505032,0.159555957741288,"Replication, Frequency Domain"
output,32,-0.256236106851501,-0.0484541015123559,0.1541561504836,"Replication, Frequency Domain"
output,33,-0.259905412914982,-0.0501676859647901,0.151719345370414,"Replication, Frequency Domain"
output,34,-0.263396140939291,-0.0508733357716353,0.151170706084417,"Replication, Frequency Domain"
output,35,-0.26681282376869,-0.0511856889995135,0.151335402740207,"Replication, Frequency Domain"
output,36,-0.268199937620494,-0.0506923912083689,0.149840386186444,"Replication, Frequency Domain"
output,37,-0.2685886542877,-0.0507485700567095,0.150112668670498,"Replication, Frequency Domain"
output,38,-0.26936982734139,-0.0507355314864642,0.149717050556894,"Replication, Frequency Domain"
output,39,-0.270239640039299,-0.0508030692999537,0.151181019906493,"Replication, Frequency Domain"
output,40,-0.271791513204557,-0.0498646928248129,0.152031936287503,"Replication, Frequency Domain"
productivity,1,-0.354857288943488,-0.283602599406601,-0.209937293548353,"Replication, Frequency Domain"
productivity,2,-0.264085833884468,-0.179624447495204,-0.0978868296028733,"Replication, Frequency Domain"
productivity,3,-0.154267842100663,-0.0626405050442476,0.0299235105734385,"Replication, Frequency Domain"
productivity,4,-0.0558155222819423,0.0444655678323259,0.144057251015218,"Replication, Frequency Domain"
productivity,5,0.0186758514959465,0.124891870258222,0.230030850664256,"Replication, Frequency Domain"
productivity,6,0.0669341243346801,0.178837239956856,0.288957024599383,"Replication, Frequency Domain"
productivity,7,0.0945641176911622,0.207754981499064,0.321160628390409,"Replication, Frequency Domain"
productivity,8,0.100244171894834,0.217093830599517,0.331920123828768,"Replication, Frequency Domain"
productivity,9,0.0914242906662355,0.209053342170767,0.32908996445768,"Replication, Frequency Domain"
productivity,10,0.0704253136833164,0.191034146368898,0.315092002084793,"Replication, Frequency Domain"
productivity,11,0.0443201885805867,0.164493610459162,0.292718926924091,"Replication, Frequency Domain"
productivity,12,0.0155551545696078,0.137310175681403,0.267364948000008,"Replication, Frequency Domain"
productivity,13,-0.0166508781530199,0.108197026979343,0.242324844535482,"Replication, Frequency Domain"
productivity,14,-0.046804834716404,0.0788803958176375,0.215568970231085,"Replication, Frequency Domain"
productivity,15,-0.0759927671289992,0.0513875082787752,0.190742044894745,"Replication, Frequency Domain"
productivity,16,-0.103177178201416,0.027497470956516,0.166312062095349,"Replication, Frequency Domain"
productivity,17,-0.125934585085771,0.00712517183506582,0.147675223940107,"Replication, Frequency Domain"
productivity,18,-0.145106697807284,-0.00989914678939679,0.130755910271113,"Replication, Frequency Domain"
productivity,19,-0.161800637414817,-0.0230965445929092,0.118117202137168,"Replication, Frequency Domain"
productivity,20,-0.173977025430088,-0.0341105186620662,0.108643606064595,"Replication, Frequency Domain"
productivity,21,-0.185190259875799,-0.0420313162797992,0.102620051758134,"Replication, Frequency Domain"
productivity,22,-0.192351270381019,-0.0475165781373002,0.0989880074294257,"Replication, Frequency Domain"
productivity,23,-0.198907923492945,-0.0510425414261606,0.0979470643930011,"Replication, Frequency Domain"
productivity,24,-0.201462339900152,-0.0519297288559506,0.0996018505701151,"Replication, Frequency Domain"
productivity,25,-0.203906631717898,-0.0518769393818658,0.102076938597331,"Replication, Frequency Domain"
productivity,26,-0.204716607214758,-0.0513302926793682,0.106128374504245,"Replication, Frequency Domain"
productivity,27,-0.205624409203823,-0.0486801573535225,0.110441651264598,"Replication, Frequency Domain"
productivity,28,-0.204895466055613,-0.0468952059375102,0.115003184291724,"Replication, Frequency Domain"
productivity,29,-0.203341304542218,-0.0447274120434048,0.119368437800596,"Replication, Frequency Domain"
productivity,30,-0.202524294204587,-0.0418723633527369,0.123864613286175,"Replication, Frequency Domain"
productivity,31,-0.203249278564401,-0.0394502771714439,0.127850798332206,"Replication, Frequency Domain"
productivity,32,-0.202699856694796,-0.0363551712646427,0.132228480874321,"Replication, Frequency Domain"
productivity,33,-0.202057274693381,-0.0337510477031295,0.135446668978102,"Replication, Frequency Domain"
productivity,34,-0.200559822357338,-0.0320274396869569,0.137886951150606,"Replication, Frequency Domain"
productivity,35,-0.200595667301373,-0.0296746798543459,0.141108892808227,"Replication, Frequency Domain"
productivity,36,-0.200323954703027,-0.0277501600584024,0.143064050446549,"Replication, Frequency Domain"
productivity,37,-0.201444207080039,-0.0260960640043848,0.144595699266632,"Replication, Frequency Domain"
productivity,38,-0.20093969377931,-0.0245319015759897,0.146438834844029,"Replication, Frequency Domain"
productivity,39,-0.200526636728941,-0.0237511689660136,0.147006226357863,"Replication, Frequency Domain"
productivity,40,-0.200195635125048,-0.0233976750876569,0.148316793788591,"Replication, Frequency Domain"
unemployment,1,0.211256194775928,0.22561735335175,0.240021936483227,"Replication, Frequency Domain"
unemployment,2,0.314568228729237,0.338138489595907,0.360160129012801,"Replication, Frequency Domain"
unemployment,3,0.336592138049434,0.372599141042886,0.405900346769847,"Replication, Frequency Domain"
unemployment,4,0.30998487508826,0.361059645214233,0.406765832145806,"Replication, Frequency Domain"
unemployment,5,0.257716900884874,0.321974830456975,0.381027971269627,"Replication, Frequency Domain"
unemployment,6,0.193826743411097,0.269224229857298,0.33991693461447,"Replication, Frequency Domain"
unemployment,7,0.127149224455504,0.21303645872467,0.291982145579484,"Replication, Frequency Domain"
unemployment,8,0.0649287666903135,0.158448778555938,0.243051031255837,"Replication, Frequency Domain"
unemployment,9,0.0085248998479942,0.107448163182081,0.195373885590624,"Replication, Frequency Domain"
unemployment,10,-0.0381125060185237,0.0628261988658602,0.153470754032873,"Replication, Frequency Domain"
unemployment,11,-0.0752144453332685,0.0258216376144947,0.118079653462442,"Replication, Frequency Domain"
unemployment,12,-0.104559699095705,-0.00432349128298461,0.0859063452626959,"Replication, Frequency Domain"
unemployment,13,-0.124981674643257,-0.0274058042465133,0.0591382320304716,"Replication, Frequency Domain"
unemployment,14,-0.136690930828725,-0.0449893730156415,0.0387969448082578,"Replication, Frequency Domain"
unemployment,15,-0.143857521614077,-0.0549641123881322,0.0236985054867397,"Replication, Frequency Domain"
unemployment,16,-0.146385853789314,-0.0610223385673954,0.0131652142796933,"Replication, Frequency Domain"
unemployment,17,-0.142684827486987,-0.0632681463176417,0.00612268398343257,"Replication, Frequency Domain"
unemployment,18,-0.13682834735996,-0.0620260797440766,0.00291084054395831,"Replication, Frequency Domain"
unemployment,19,-0.129584366512319,-0.0581652814447731,0.0020497854795665,"Replication, Frequency Domain"
unemployment,20,-0.121376582847975,-0.0529868517155062,0.00328550466415709,"Replication, Frequency Domain"
unemployment,21,-0.111708806808812,-0.0466366416974205,0.00603184465190887,"Replication, Frequency Domain"
unemployment,22,-0.102547518403685,-0.0401995337697858,0.00899783466131426,"Replication, Frequency Domain"
unemployment,23,-0.0936174017962987,-0.0337732713287478,0.0130919820335604,"Replication, Frequency Domain"
unemployment,24,-0.0841296174375404,-0.0275879449615851,0.0178844957360643,"Replication, Frequency Domain"
unemployment,25,-0.0756721931647878,-0.0213630315393876,0.0218015445354337,"Replication, Frequency Domain"
unemployment,26,-0.0665916440540263,-0.015818961034724,0.0257084543897418,"Replication, Frequency Domain"
unemployment,27,-0.0591892218689518,-0.0110203542589786,0.0296112994283598,"Replication, Frequency Domain"
unemployment,28,-0.0524029794290118,-0.00693747897771791,0.0325669040324133,"Replication, Frequency Domain"
unemployment,29,-0.0466262660581853,-0.00354373167629371,0.0351861528180477,"Replication, Frequency Domain"
unemployment,30,-0.0415591499702351,-0.000835935350965238,0.0377579558580513,"Replication, Frequency Domain"
unemployment,31,-0.0375041603833251,0.00136510178993961,0.0396582524648696,"Replication, Frequency Domain"
unemployment,32,-0.0344269774707797,0.00254757191572464,0.0410571336306275,"Replication, Frequency Domain"
unemployment,33,-0.0312394818248167,0.00402954670430372,0.0418224828931508,"Replication, Frequency Domain"
unemployment,34,-0.0284135266942715,0.00495472062821044,0.0421746907995924,"Replication, Frequency Domain"
unemployment,35,-0.0270373003676329,0.00535083421433765,0.0411396127374494,"Replication, Frequency Domain"
unemployment,36,-0.0257161764332271,0.00581550747011784,0.0407891138726683,"Replication, Frequency Domain"
unemployment,37,-0.0246134988482683,0.0061331255287079,0.0400100075360878,"Replication, Frequency Domain"
unemployment,38,-0.0239121890819544,0.00608835409051177,0.038986579875215,"Replication, Frequency Domain"
unemployment,39,-0.0233927248599611,0.00581335894920394,0.0375007995613506,"Replication, Frequency Domain"
unemployment,40,-0.0230712898866227,0.00526183115627906,0.0366021690130052,"Replication, Frequency Domain"
TFP,1,-0.0244093994914214,0.0312655669752547,0.0871410149667757,"Replication, Time Domain, Horizon 4"
TFP,2,0.0549960308517918,0.118274470339462,0.180513424703296,"Replication, Time Domain, Horizon 4"
TFP,3,0.0510494969752439,0.116696568789765,0.185369279746216,"Replication, Time Domain, Horizon 4"
TFP,4,0.0163283482575234,0.0856573690586327,0.157867363833945,"Replication, Time Domain, Horizon 4"
TFP,5,-0.0321255507974875,0.0420910214618184,0.118557419353377,"Replication, Time Domain, Horizon 4"
TFP,6,-0.0817689363829306,-0.00105538626124474,0.0778389872249801,"Replication, Time Domain, Horizon 4"
TFP,7,-0.126310316967288,-0.0414690351225307,0.0397410328821518,"Replication, Time Domain, Horizon 4"
TFP,8,-0.163935730699726,-0.0738450140563557,0.0103874891363902,"Replication, Time Domain, Horizon 4"
TFP,9,-0.193953171959382,-0.0989855944523891,-0.0107427977850525,"Replication, Time Domain, Horizon 4"
TFP,10,-0.216354012352794,-0.117623384595632,-0.026592698424882,"Replication, Time Domain, Horizon 4"
TFP,11,-0.233216963320824,-0.12962656920497,-0.0360235147616603,"Replication, Time Domain, Horizon 4"
TFP,12,-0.243835326471061,-0.136888227631457,-0.0391553842096797,"Replication, Time Domain, Horizon 4"
TFP,13,-0.251159042840424,-0.141167680249623,-0.0405262622158682,"Replication, Time Domain, Horizon 4"
TFP,14,-0.255281370498135,-0.142504174313314,-0.0388202116121652,"Replication, Time Domain, Horizon 4"
TFP,15,-0.257257723013402,-0.141676645053788,-0.0367777379960517,"Replication, Time Domain, Horizon 4"
TFP,16,-0.257860589699546,-0.138957287805981,-0.0317337962482017,"Replication, Time Domain, Horizon 4"
TFP,17,-0.257395355194377,-0.13550324096716,-0.0267812776093411,"Replication, Time Domain, Horizon 4"
TFP,18,-0.257281099964781,-0.132743802800438,-0.0220827789488342,"Replication, Time Domain, Horizon 4"
TFP,19,-0.256134846858225,-0.130168465069366,-0.0176801450693352,"Replication, Time Domain, Horizon 4"
TFP,20,-0.255927896942275,-0.127647986794111,-0.0146849311951619,"Replication, Time Domain, Horizon 4"
TFP,21,-0.255481670676898,-0.126061993601281,-0.0130558926664668,"Replication, Time Domain, Horizon 4"
TFP,22,-0.254116499334618,-0.124063110719299,-0.0101211998094742,"Replication, Time Domain, Horizon 4"
TFP,23,-0.253963644082349,-0.122337171462501,-0.00821607198778915,"Replication, Time Domain, Horizon 4"
TFP,24,-0.253271991342811,-0.121425240412441,-0.00736793114832734,"Replication, Time Domain, Horizon 4"
TFP,25,-0.255249583823596,-0.120947347127311,-0.00561272095570776,"Replication, Time Domain, Horizon 4"
TFP,26,-0.256612162883465,-0.120424215050443,-0.00530009492883859,"Replication, Time Domain, Horizon 4"
TFP,27,-0.257587760905614,-0.119603816268852,-0.00503904823592307,"Replication, Time Domain, Horizon 4"
TFP,28,-0.2588687971465,-0.119654155107808,-0.00616245817939564,"Replication, Time Domain, Horizon 4"
TFP,29,-0.25946240796493,-0.120255942970414,-0.00761328807485778,"Replication, Time Domain, Horizon 4"
TFP,30,-0.260440040759472,-0.120442313525717,-0.00731880094887228,"Replication, Time Domain, Horizon 4"
TFP,31,-0.261567043298076,-0.121068416552943,-0.00828333094024484,"Replication, Time Domain, Horizon 4"
TFP,32,-0.263474202440072,-0.121302951402727,-0.00962392889956246,"Replication, Time Domain, Horizon 4"
TFP,33,-0.264795174946777,-0.120470952413295,-0.0106644800751628,"Replication, Time Domain, Horizon 4"
TFP,34,-0.266357026635403,-0.120016706386306,-0.0118194707382134,"Replication, Time Domain, Horizon 4"
TFP,35,-0.265968940573886,-0.119927681355944,-0.0119237045767237,"Replication, Time Domain, Horizon 4"
TFP,36,-0.266686494301807,-0.119476515884718,-0.0126118960756326,"Replication, Time Domain, Horizon 4"
TFP,37,-0.266838331481345,-0.118980733429883,-0.0130392796794677,"Replication, Time Domain, Horizon 4"
TFP,38,-0.266442153431116,-0.117813460322532,-0.0130452948433607,"Replication, Time Domain, Horizon 4"
TFP,39,-0.265533860618596,-0.117291079350649,-0.0130932994001568,"Replication, Time Domain, Horizon 4"
TFP,40,-0.265612874119887,-0.116735579304457,-0.0122731173221279,"Replication, Time Domain, Horizon 4"
consumption,1,-0.173445290313434,-0.141748663903597,-0.110060792250344,"Replication, Time Domain, Horizon 4"
consumption,2,-0.274779672914806,-0.233969840002652,-0.194132188654271,"Replication, Time Domain, Horizon 4"
consumption,3,-0.316623993730423,-0.266851220318297,-0.219040397139251,"Replication, Time Domain, Horizon 4"
consumption,4,-0.330649216767318,-0.272376844301825,-0.217896443905619,"Replication, Time Domain, Horizon 4"
consumption,5,-0.327556108127151,-0.26161347483903,-0.200760085608597,"Replication, Time Domain, Horizon 4"
consumption,6,-0.316292511140945,-0.241178942443757,-0.171769680041762,"Replication, Time Domain, Horizon 4"
consumption,7,-0.298316199457976,-0.215173328955465,-0.140025128996401,"Replication, Time Domain, Horizon 4"
consumption,8,-0.279826337093258,-0.189366798753719,-0.105211681268737,"Replication, Time Domain, Horizon 4"
consumption,9,-0.263516590930863,-0.163297844469489,-0.0748660022541508,"Replication, Time Domain, Horizon 4"
consumption,10,-0.249158575336907,-0.141784252447763,-0.0450604920450898,"Replication, Time Domain, Horizon 4"
consumption,11,-0.237366700296089,-0.124190747542829,-0.0201613096918989,"Replication, Time Domain, Horizon 4"
consumption,12,-0.22800688118147,-0.108169027383697,1.25346929997128e-06,"Replication, Time Domain, Horizon 4"
consumption,13,-0.22050636790133,-0.0965180940602309,0.0167091276008234,"Replication, Time Domain, Horizon 4"
consumption,14,-0.217204879674578,-0.0899609012992143,0.0301761550787816,"Replication, Time Domain, Horizon 4"
consumption,15,-0.217943412621961,-0.0855534416695224,0.0396451449990109,"Replication, Time Domain, Horizon 4"
consumption,16,-0.221098532508173,-0.0841491464197492,0.0458340905080727,"Replication, Time Domain, Horizon 4"
consumption,17,-0.223895535974665,-0.0834799988483372,0.0480614784463816,"Replication, Time Domain, Horizon 4"
consumption,18,-0.230507961343646,-0.0860198964758329,0.0492607821133265,"Replication, Time Domain, Horizon 4"
consumption,19,-0.239479155502684,-0.088474066113594,0.0497509820836729,"Replication, Time Domain, Horizon 4"
consumption,20,-0.24757496173886,-0.0935266024471358,0.0472897660322605,"Replication, Time Domain, Horizon 4"
consumption,21,-0.254982190676531,-0.0973784139879469,0.0439301500946581,"Replication, Time Domain, Horizon 4"
consumption,22,-0.26374003523043,-0.102453038742943,0.0411707303080736,"Replication, Time Domain, Horizon 4"
consumption,23,-0.273546967605329,-0.108493575924151,0.0361072815582949,"Replication, Time Domain, Horizon 4"
consumption,24,-0.281773288876797,-0.114386443901804,0.0326292036711092,"Replication, Time Domain, Horizon 4"
consumption,25,-0.290306054166842,-0.120924987864994,0.027957549835747,"Replication, Time Domain, Horizon 4"
consumption,26,-0.298483015614918,-0.127080275412702,0.023168873148858,"Replication, Time Domain, Horizon 4"
consumption,27,-0.306233558249531,-0.131641271541383,0.0183506293184018,"Replication, Time Domain, Horizon 4"
consumption,28,-0.314439365626358,-0.137328575462851,0.0149394254179563,"Replication, Time Domain, Horizon 4"
consumption,29,-0.32144841517738,-0.141298249437353,0.0119517302906258,"Replication, Time Domain, Horizon 4"
consumption,30,-0.328143421732016,-0.144444867952155,0.00873164279318552,"Replication, Time Domain, Horizon 4"
consumption,31,-0.334753321165288,-0.146981568357003,0.00548021783909103,"Replication, Time Domain, Horizon 4"
consumption,32,-0.343820217535829,-0.150723096117103,0.00330351441495591,"Replication, Time Domain, Horizon 4"
consumption,33,-0.349313405804448,-0.152772435004857,0.000736949424340447,"Replication, Time Domain, Horizon 4"
consumption,34,-0.356365693806687,-0.154593494816579,-0.00171840327665949,"Replication, Time Domain, Horizon 4"
consumption,35,-0.361745719792797,-0.15642530695434,-0.00315756878106521,"Replication, Time Domain, Horizon 4"
consumption,36,-0.365465317234605,-0.158388352045357,-0.00396842652642808,"Replication, Time Domain, Horizon 4"
consumption,37,-0.370784521291501,-0.159422681756465,-0.00407634365267675,"Replication, Time Domain, Horizon 4"
consumption,38,-0.375447726700348,-0.161182931628896,-0.00373409602649853,"Replication, Time Domain, Horizon 4"
consumption,39,-0.381439591988781,-0.163277506324618,-0.00402956567064771,"Replication, Time Domain, Horizon 4"
consumption,40,-0.387398356878908,-0.164590026572837,-0.00374896391900854,"Replication, Time Domain, Horizon 4"
hours_worked,1,-0.396222395037613,-0.350503967523511,-0.306720536546773,"Replication, Time Domain, Horizon 4"
hours_worked,2,-0.567595864074276,-0.514402780596608,-0.463767924589978,"Replication, Time Domain, Horizon 4"
hours_worked,3,-0.620360257515671,-0.55564649040501,-0.496143281942034,"Replication, Time Domain, Horizon 4"
hours_worked,4,-0.603067593579203,-0.529110764238208,-0.461125838687985,"Replication, Time Domain, Horizon 4"
hours_worked,5,-0.548051414083802,-0.467351942393586,-0.394280973782787,"Replication, Time Domain, Horizon 4"
hours_worked,6,-0.479781661878839,-0.390271764866356,-0.309912987082298,"Replication, Time Domain, Horizon 4"
hours_worked,7,-0.408466057577983,-0.31154373917029,-0.223988158791323,"Replication, Time Domain, Horizon 4"
hours_worked,8,-0.339984227577858,-0.235482219395708,-0.142284154508299,"Replication, Time Domain, Horizon 4"
hours_worked,9,-0.277455029929557,-0.168903156085418,-0.0686472599941705,"Replication, Time Domain, Horizon 4"
hours_worked,10,-0.221354269867807,-0.110451225803427,-0.00422653317880975,"Replication, Time Domain, Horizon 4"
hours_worked,11,-0.176378986192398,-0.0626134058832984,0.0457086424359278,"Replication, Time Domain, Horizon 4"
hours_worked,12,-0.141386811285705,-0.0253644099290327,0.0872501741940289,"Replication, Time Domain, Horizon 4"
hours_worked,13,-0.115502109104818,0.00307305039001744,0.117506759797303,"Replication, Time Domain, Horizon 4"
hours_worked,14,-0.0969128962182505,0.0231919859553573,0.139883019195265,"Replication, Time Domain, Horizon 4"
hours_worked,15,-0.0839352898080165,0.0356342892567074,0.15453323242076,"Replication, Time Domain, Horizon 4"
hours_worked,16,-0.0751126461059117,0.0426621173023221,0.160891894989098,"Replication, Time Domain, Horizon 4"
