identification,f,p,response,fevfd,total
fevdfd_vfci_f12,1.65413186765589,3.79847908745247,output,0.0266030191533452,0.151497102844835
fevdfd_vfci_f12,1.66042134243785,3.78409090909091,output,0.0264274960360608,0.15153249329933
fevdfd_vfci_f12,1.66671081721981,3.76981132075472,output,0.0262534001197216,0.151568514609649
fevdfd_vfci_f12,1.67300029200177,3.75563909774436,output,0.0260807560329514,0.151605233706944
fevdfd_vfci_f12,1.67928976678373,3.74157303370787,output,0.0259095885358904,0.151642720867842
fevdfd_vfci_f12,1.68557924156569,3.72761194029851,output,0.0257399224909546,0.151681049616532
fevdfd_vfci_f12,1.69186871634766,3.71375464684015,output,0.0255717828334619,0.151720296621901
fevdfd_vfci_f12,1.69815819112962,3.7,output,0.0254051945421766,0.151760541589881
fevdfd_vfci_f12,1.70444766591158,3.68634686346864,output,0.0252401826098227,0.151801867151161
fevdfd_vfci_f12,1.71073714069354,3.67279411764706,output,0.0250767720136185,0.151844358744412
fevdfd_vfci_f12,1.7170266154755,3.65934065934066,output,0.0249149876858787,0.151888104495224
fevdfd_vfci_f12,1.72331609025746,3.64598540145985,output,0.0247548544847363,0.151933195090904
fevdfd_vfci_f12,1.72960556503943,3.63272727272727,output,0.0245963971650276,0.151979723651333
fevdfd_vfci_f12,1.73589503982139,3.61956521739131,output,0.0244396403493887,0.152027785596058
fevdfd_vfci_f12,1.74218451460335,3.60649819494585,output,0.0242846084996052,0.152077478507815
fevdfd_vfci_f12,1.74847398938531,3.59352517985612,output,0.0241313258882582,0.152128901992659
fevdfd_vfci_f12,1.75476346416727,3.58064516129032,output,0.0239798165707051,0.152182157536919
fevdfd_vfci_f12,1.76105293894923,3.56785714285714,output,0.023830104357436,0.152237348361149
fevdfd_vfci_f12,1.76734241373119,3.55516014234875,output,0.0236822127868366,0.152294579271283
fevdfd_vfci_f12,1.77363188851316,3.54255319148936,output,0.0235361650983969,0.152353956507202
fevdfd_vfci_f12,1.77992136329512,3.53003533568905,output,0.0233919842063914,0.152415587588885
fevdfd_vfci_f12,1.78621083807708,3.51760563380282,output,0.0232496926740621,0.152479581160368
fevdfd_vfci_f12,1.79250031285904,3.50526315789474,output,0.0231093126883314,0.152546046831692
fevdfd_vfci_f12,1.798789787641,3.49300699300699,output,0.0229708660350655,0.152615095019045
fevdfd_vfci_f12,1.80507926242296,3.4808362369338,output,0.0228343740749129,0.152686836783285
fevdfd_vfci_f12,1.81136873720493,3.46875,output,0.0226998577197336,0.152761383667057
fevdfd_vfci_f12,1.81765821198689,3.45674740484429,output,0.0225673374096384,0.15283884753066
fevdfd_vfci_f12,1.82394768676885,3.4448275862069,output,0.0224368330906484,0.1529193403869
fevdfd_vfci_f12,1.83023716155081,3.43298969072165,output,0.0223083641929908,0.153002974235079
fevdfd_vfci_f12,1.83652663633277,3.42123287671233,output,0.0221819496100333,0.15308986089433
fevdfd_vfci_f12,1.84281611111473,3.40955631399317,output,0.0220576076778716,0.153180111836463
fevdfd_vfci_f12,1.8491055858967,3.39795918367347,output,0.0219353561555666,0.153273838018522
fevdfd_vfci_f12,1.85539506067866,3.3864406779661,output,0.0218152122060401,0.153371149715216
