h,impulse,response,mean,median,lower,upper,version,model
2,Main,productivity,-0.229686405740023,-0.228116079694941,-0.29540497638265,-0.164275600836912,replication,bayesian_fd
2,Main,TFP,0.0816412409119899,0.0827175308583233,0.018242671371172,0.143123208361408,replication,bayesian_fd
3,Main,output,-0.642646274093431,-0.643487182595478,-0.725225491855724,-0.560766261387297,replication,bayesian_fd
3,Main,investment,-2.18927975137549,-2.18501737284061,-2.47743979551385,-1.89741393644244,replication,bayesian_fd
3,Main,consumption,-0.201571590861466,-0.19983100567402,-0.249350088694087,-0.15603837060432,replication,bayesian_fd
3,Main,hours_worked,-0.476129607611397,-0.474653635699966,-0.53348188116559,-0.418662416707141,replication,bayesian_fd
3,Main,unemployment,0.347062862679996,0.346977267384708,0.32442498446897,0.369942007674627,replication,bayesian_fd
3,Main,labor_share,0.112765402003646,0.112424887024169,0.0463279208543333,0.177435120905338,replication,bayesian_fd
3,Main,interest,-0.095082415624908,-0.095160780705159,-0.117747773021582,-0.0716218960400911,replication,bayesian_fd
3,Main,inflation,-0.0179760720858986,-0.0181856850790786,-0.0350104551092128,-0.0016524639343976,replication,bayesian_fd
3,Main,productivity,-0.129102229032906,-0.126173400337019,-0.201710435588037,-0.0586110107844343,replication,bayesian_fd
3,Main,TFP,0.0618670183951015,0.0620582290093155,-0.0015855062222004,0.12667183079168,replication,bayesian_fd
4,Main,output,-0.605832027432361,-0.605597824136766,-0.707057697295799,-0.505387756671763,replication,bayesian_fd
4,Main,investment,-1.94063211906063,-1.92794863742991,-2.28112414933848,-1.59933695704596,replication,bayesian_fd
4,Main,consumption,-0.211668789353539,-0.209872682659169,-0.268764426779508,-0.157070907150473,replication,bayesian_fd
4,Main,hours_worked,-0.458165325395636,-0.454872505908466,-0.53246304420984,-0.387186732181211,replication,bayesian_fd
4,Main,unemployment,0.348244876830157,0.349317234508494,0.317470307453513,0.379827528468493,replication,bayesian_fd
4,Main,labor_share,0.025002784376999,0.0241448899928881,-0.040315477295093,0.0869319201580175,replication,bayesian_fd
4,Main,interest,-0.100832847271274,-0.100717813616618,-0.124181384572356,-0.0765191710393534,replication,bayesian_fd
4,Main,inflation,-0.0270907294480188,-0.0274234936447052,-0.0427102681010188,-0.0106758258688338,replication,bayesian_fd
4,Main,productivity,-0.0507200572176916,-0.0485754084805287,-0.129185787653565,0.0237316367362746,replication,bayesian_fd
4,Main,TFP,0.0396150242469344,0.0407443000412323,-0.0304327846800758,0.105274169966207,replication,bayesian_fd
5,Main,output,-0.559088592843521,-0.55771782715922,-0.676386595453546,-0.44100327840434,replication,bayesian_fd
5,Main,investment,-1.67231960399124,-1.66970743063627,-2.05573195109986,-1.27811874600801,replication,bayesian_fd
5,Main,consumption,-0.211670509331639,-0.210279506977315,-0.281183810404676,-0.14620156287591,replication,bayesian_fd
5,Main,hours_worked,-0.427273120806324,-0.428606768152829,-0.511404705463075,-0.343166558164185,replication,bayesian_fd
5,Main,unemployment,0.33710402969986,0.337405020076622,0.298373763332312,0.376348166542649,replication,bayesian_fd
5,Main,labor_share,-0.0450335679701094,-0.0443965658809893,-0.106588473824062,0.0129531304536153,replication,bayesian_fd
5,Main,interest,-0.10317721116878,-0.102419905456843,-0.126026162152849,-0.0786732451975767,replication,bayesian_fd
5,Main,inflation,-0.0326609386660877,-0.0330970272459583,-0.0487041145107411,-0.0160705750976802,replication,bayesian_fd
5,Main,productivity,0.0106439861368358,0.0117726552325754,-0.0695564304864663,0.0887926439049212,replication,bayesian_fd
5,Main,TFP,0.0161725036501113,0.0172299522323683,-0.0587139249030708,0.0904732641662503,replication,bayesian_fd
6,Main,output,-0.506432888477074,-0.503453966991491,-0.634764829980869,-0.371546488073213,replication,bayesian_fd
6,Main,investment,-1.39944760954215,-1.40392796956338,-1.80943956093354,-0.956782688994979,replication,bayesian_fd
6,Main,consumption,-0.204095239990658,-0.203092733192731,-0.281149135540392,-0.129530196734359,replication,bayesian_fd
6,Main,hours_worked,-0.387156101299666,-0.384833825132308,-0.484950854255339,-0.289579049285774,replication,bayesian_fd
6,Main,unemployment,0.317016730041765,0.316432770458758,0.271093096985716,0.36306613498971,replication,bayesian_fd
6,Main,labor_share,-0.0996655505804872,-0.0996364645743066,-0.158831297904119,-0.0423759561268611,replication,bayesian_fd
