h,impulse,response,irf,model,version
26,Main,inflation,0.00797251669570128,classical_fd,Replication
26,Main,productivity,-0.154283894877781,classical_fd,Replication
26,Main,TFP,-0.061066290981069,classical_fd,Replication
27,Main,output,-0.119292819993373,classical_fd,Replication
27,Main,investment,-0.136479718951669,classical_fd,Replication
27,Main,consumption,-0.119745980602398,classical_fd,Replication
27,Main,hours_worked,0.0238105490493529,classical_fd,Replication
27,Main,unemployment,0.0264272791881311,classical_fd,Replication
27,Main,labor_share,0.020242755604936,classical_fd,Replication
27,Main,interest,0.0156086826543631,classical_fd,Replication
27,Main,inflation,0.00680426977007161,classical_fd,Replication
27,Main,productivity,-0.156197410989436,classical_fd,Replication
27,Main,TFP,-0.0663745601786287,classical_fd,Replication
28,Main,output,-0.12202786220336,classical_fd,Replication
28,Main,investment,-0.14346856604579,classical_fd,Replication
28,Main,consumption,-0.122536348847959,classical_fd,Replication
28,Main,hours_worked,0.0217675191956951,classical_fd,Replication
28,Main,unemployment,0.0276233844249006,classical_fd,Replication
28,Main,labor_share,0.0191566758690387,classical_fd,Replication
28,Main,interest,0.0146271978690177,classical_fd,Replication
28,Main,inflation,0.00572608248210619,classical_fd,Replication
28,Main,productivity,-0.157870183849818,classical_fd,Replication
28,Main,TFP,-0.0714008185039234,classical_fd,Replication
29,Main,output,-0.12390451911964,classical_fd,Replication
29,Main,investment,-0.147155826878869,classical_fd,Replication
29,Main,consumption,-0.124766129402592,classical_fd,Replication
29,Main,hours_worked,0.020487714034028,classical_fd,Replication
29,Main,unemployment,0.0283303910654766,classical_fd,Replication
29,Main,labor_share,0.0181193208280087,classical_fd,Replication
29,Main,interest,0.0136886577937092,classical_fd,Replication
29,Main,inflation,0.00473516916730503,classical_fd,Replication
29,Main,productivity,-0.159366139482642,classical_fd,Replication
29,Main,TFP,-0.0760827301659978,classical_fd,Replication
30,Main,output,-0.125025533264989,classical_fd,Replication
30,Main,investment,-0.148071998029825,classical_fd,Replication
30,Main,consumption,-0.126471252119705,classical_fd,Replication
30,Main,hours_worked,0.0198868165382579,classical_fd,Replication
30,Main,unemployment,0.0285988852496602,classical_fd,Replication
30,Main,labor_share,0.0172050303623508,classical_fd,Replication
30,Main,interest,0.0128004179895389,classical_fd,Replication
30,Main,inflation,0.00382847610958197,classical_fd,Replication
30,Main,productivity,-0.160728930793684,classical_fd,Replication
30,Main,TFP,-0.0803822979061203,classical_fd,Replication
31,Main,output,-0.125483476090462,classical_fd,Replication
31,Main,investment,-0.146684575955412,classical_fd,Replication
31,Main,consumption,-0.127688848785711,classical_fd,Replication
31,Main,hours_worked,0.0198838931819609,classical_fd,Replication
31,Main,unemployment,0.0284786006068035,classical_fd,Replication
31,Main,labor_share,0.0164649839896747,classical_fd,Replication
31,Main,interest,0.0119674412996062,classical_fd,Replication
31,Main,inflation,0.00300285843485599,classical_fd,Replication
31,Main,productivity,-0.161987655992767,classical_fd,Replication
31,Main,TFP,-0.0842798829201888,classical_fd,Replication
32,Main,output,-0.125363217803098,classical_fd,Replication
32,Main,investment,-0.143410209356725,classical_fd,Replication
32,Main,consumption,-0.128456862822512,classical_fd,Replication
32,Main,hours_worked,0.0204005337682253,classical_fd,Replication
32,Main,unemployment,0.0280182427355524,classical_fd,Replication
32,Main,labor_share,0.0159318834185225,classical_fd,Replication
32,Main,interest,0.0111926225745391,classical_fd,Replication
32,Main,inflation,0.00225509076966919,classical_fd,Replication
32,Main,productivity,-0.163160892591236,classical_fd,Replication
32,Main,TFP,-0.0877692628620867,classical_fd,Replication
33,Main,output,-0.124743592653803,classical_fd,Replication
33,Main,investment,-0.138623185731462,classical_fd,Replication
33,Main,consumption,-0.128813761005729,classical_fd,Replication
33,Main,hours_worked,0.021360473649958,classical_fd,Replication
33,Main,unemployment,0.0272653505168668,classical_fd,Replication
33,Main,labor_share,0.0156236392911102,classical_fd,Replication
33,Main,interest,0.0104770713723129,classical_fd,Replication
33,Main,inflation,0.00158180983393507,classical_fd,Replication
33,Main,productivity,-0.164259490536109,classical_fd,Replication
33,Main,TFP,-0.090853770922613,classical_fd,Replication
34,Main,output,-0.123698306833975,classical_fd,Replication
34,Main,investment,-0.132660652122824,classical_fd,Replication
34,Main,consumption,-0.128798221733618,classical_fd,Replication
34,Main,hours_worked,0.0226897151143051,classical_fd,Replication
34,Main,unemployment,0.0262660678092284,classical_fd,Replication
34,Main,labor_share,0.0155462952364509,classical_fd,Replication
34,Main,interest,0.00982038398557783,classical_fd,Replication
34,Main,inflation,0.000979449862278211,classical_fd,Replication
34,Main,productivity,-0.165288512236867,classical_fd,Replication
34,Main,TFP,-0.0935434124114144,classical_fd,Replication
35,Main,output,-0.122296254178192,classical_fd,Replication
35,Main,investment,-0.125825384107273,classical_fd,Replication
