fevd,h,impulse,response
22.1207921525215,30,Main,investment
22.0906999594465,31,Main,investment
22.0561686177856,32,Main,investment
22.0161340369464,33,Main,investment
21.9704717020964,34,Main,investment
21.9197256075624,35,Main,investment
21.8648396565188,36,Main,investment
21.8069249669323,37,Main,investment
21.7470811718627,38,Main,investment
21.6862767530808,39,Main,investment
21.6252839117218,40,Main,investment
27.1592335536924,1,Main,consumption
34.7266769785254,2,Main,consumption
36.9256710270999,3,Main,consumption
36.8091198558285,4,Main,consumption
35.359831551566,5,Main,consumption
33.1953992770264,6,Main,consumption
30.7291612208175,7,Main,consumption
28.2317658196061,8,Main,consumption
25.8687927252911,9,Main,consumption
23.7268581135522,10,Main,consumption
21.8389573082846,11,Main,consumption
20.2051185282193,12,Main,consumption
18.807625058773,13,Main,consumption
17.6211212399776,14,Main,consumption
16.6186864184406,15,Main,consumption
15.7750783415222,16,Main,consumption
15.0681419929576,17,Main,consumption
14.479113413142,18,Main,consumption
13.9923195491933,19,Main,consumption
13.5946059517158,20,Main,consumption
13.2747045947065,21,Main,consumption
13.022668829774,22,Main,consumption
12.8294403204756,23,Main,consumption
12.686567655402,24,Main,consumption
12.5860654109746,25,Main,consumption
12.5203840647489,26,Main,consumption
12.4824534848925,27,Main,consumption
12.4657632783621,28,Main,consumption
12.4644492399314,29,Main,consumption
12.4733637806941,30,Main,consumption
12.4881173076555,31,Main,consumption
12.5050855617381,32,Main,consumption
12.521384092597,33,Main,consumption
12.534815122485,34,Main,consumption
12.5437941870418,35,Main,consumption
12.5472645128036,36,Main,consumption
12.5446065509213,37,Main,consumption
12.5355488693412,38,Main,consumption
12.5200850780009,39,Main,consumption
12.4983998991555,40,Main,consumption
37.6379079564833,1,Main,hours_worked
55.1781114444403,2,Main,hours_worked
64.9017606673548,3,Main,hours_worked
68.4552245698723,4,Main,hours_worked
67.506185314589,5,Main,hours_worked
63.5788260961699,6,Main,hours_worked
58.1139281703216,7,Main,hours_worked
52.3277757465545,8,Main,hours_worked
47.0188659407884,9,Main,hours_worked
42.5684495355429,10,Main,hours_worked
39.0579384317112,11,Main,hours_worked
36.4046124882426,12,Main,hours_worked
34.4591844913193,13,Main,hours_worked
33.060895737018,14,Main,hours_worked
32.0634145160477,15,Main,hours_worked
31.3446219146908,16,Main,hours_worked
30.808633207727,17,Main,hours_worked
30.3843227788162,18,Main,hours_worked
30.0222540672315,19,Main,hours_worked
29.690827552318,20,Main,hours_worked
29.3721004359007,21,Main,hours_worked
29.0576706370242,22,Main,hours_worked
28.7450014191301,23,Main,hours_worked
28.4344822115402,24,Main,hours_worked
28.1273730457937,25,Main,hours_worked
27.8246137752762,26,Main,hours_worked
27.526347843788,27,Main,hours_worked
27.2319420829563,28,Main,hours_worked
26.9402782345265,29,Main,hours_worked
26.6501298132167,30,Main,hours_worked
26.3604961060604,31,Main,hours_worked
26.0708244692536,32,Main,hours_worked
25.781101084698,33,Main,hours_worked
25.4918242485544,34,Main,hours_worked
25.2038930280889,35,Main,hours_worked
24.9184502633294,36,Main,hours_worked
24.6367159884052,37,Main,hours_worked
24.3598390859013,38,Main,hours_worked
24.0887845819055,39,Main,hours_worked
23.8242638855944,40,Main,hours_worked
69.400910641018,1,Main,unemployment
81.8075382312154,2,Main,unemployment
87.6210308774372,3,Main,unemployment
88.8518006854041,4,Main,unemployment
86.5538124589676,5,Main,unemployment
81.7073352409385,6,Main,unemployment
75.3549098578298,7,Main,unemployment
68.5100499870312,8,Main,unemployment
61.9596153727368,9,Main,unemployment
56.1753838205779,10,Main,unemployment
51.3503398171352,11,Main,unemployment
47.4887080982084,12,Main,unemployment
44.4920651167808,13,Main,unemployment
42.2196948598295,14,Main,unemployment
40.5238756251233,15,Main,unemployment
39.267880310461,16,Main,unemployment
38.3339431811333,17,Main,unemployment
37.6259455152437,18,Main,unemployment
37.0693773729731,19,Main,unemployment
36.60976368212,20,Main,unemployment
36.2100858335342,21,Main,unemployment
35.8475313543991,22,Main,unemployment
35.5099200459331,23,Main,unemployment
35.1922010050467,24,Main,unemployment
34.8933899394143,25,Main,unemployment
34.614202933415,26,Main,unemployment
34.3554817577633,27,Main,unemployment
34.1173541480256,28,Main,unemployment
33.8989710071146,29,Main,unemployment
