fevd,h,impulse,response
27.0629349784015,20,Main,vfci
26.9566371021541,21,Main,vfci
26.8782760991171,22,Main,vfci
26.8219164158277,23,Main,vfci
26.7816822520793,24,Main,vfci
26.7525259506815,25,Main,vfci
26.7305744257883,26,Main,vfci
26.7131621218723,27,Main,vfci
26.6986638658536,28,Main,vfci
26.686230246135,29,Main,vfci
26.6755063240968,30,Main,vfci
26.6663875549,31,Main,vfci
26.6588405155806,32,Main,vfci
26.6527945496091,33,Main,vfci
26.6480957491073,34,Main,vfci
26.6445069155946,35,Main,vfci
26.6417350953752,36,Main,vfci
26.6394702144395,37,Main,vfci
26.6374224365561,38,Main,vfci
26.6353506314052,39,Main,vfci
26.6330787076219,40,Main,vfci
