fevd,h,impulse,response
1.47564842693958,3,Main,labor_share
2.30705502103761,4,Main,labor_share
4.20385740002929,5,Main,labor_share
6.76189318644204,6,Main,labor_share
9.4122286837879,7,Main,labor_share
11.6538710468223,8,Main,labor_share
13.1881320121079,9,Main,labor_share
13.9398101604254,10,Main,labor_share
14.0132129100367,11,Main,labor_share
13.6098794904806,12,Main,labor_share
12.9501671815546,13,Main,labor_share
12.2198539675349,14,Main,labor_share
11.5468627915057,15,Main,labor_share
11.0007741345826,16,Main,labor_share
10.6045411377135,17,Main,labor_share
10.3498110629821,18,Main,labor_share
10.210902405752,19,Main,labor_share
10.1554771136196,20,Main,labor_share
10.1516982686143,21,Main,labor_share
10.1724162319726,22,Main,labor_share
10.1971081064691,23,Main,labor_share
10.2122356019256,24,Main,labor_share
10.2105664760602,25,Main,labor_share
10.1898963707737,26,Main,labor_share
10.1515221072436,27,Main,labor_share
10.0987421814417,28,Main,labor_share
10.0355826819649,29,Main,labor_share
9.96586407213598,30,Main,labor_share
9.89264311105271,31,Main,labor_share
9.81799611013852,32,Main,labor_share
9.7430643026339,33,Main,labor_share
9.66826284283085,34,Main,labor_share
9.59355875367351,35,Main,labor_share
9.51874256127013,36,Main,labor_share
9.44364477159372,37,Main,labor_share
9.3682744941654,38,Main,labor_share
9.29287872557114,39,Main,labor_share
9.21793504828938,40,Main,labor_share
16.8119455419994,1,Main,interest
31.1377252012618,2,Main,interest
38.4449446949693,3,Main,interest
42.7081265838354,4,Main,interest
45.1876092536191,5,Main,interest
46.3351510746141,6,Main,interest
46.4735130766742,7,Main,interest
45.895546855736,8,Main,interest
44.8720017619845,9,Main,interest
43.6484352569568,10,Main,interest
42.4242934875946,11,Main,interest
41.3362176688853,12,Main,interest
40.4542387713932,13,Main,interest
39.7915228387275,14,Main,interest
39.3220212214971,15,Main,interest
38.9993198138673,16,Main,interest
38.772038533105,17,Main,interest
38.5939935705603,18,Main,interest
38.429384695246,19,Main,interest
38.2542128630521,20,Main,interest
38.0552976489242,21,Main,interest
37.8280563405903,22,Main,interest
37.5738922673034,23,Main,interest
37.2977402765965,24,Main,interest
37.0060711511068,25,Main,interest
36.7054702364025,26,Main,interest
36.4017755844014,27,Main,interest
36.0996819717387,28,Main,interest
35.8026814949491,29,Main,interest
35.513208981122,30,Main,interest
35.2328797932769,31,Main,interest
34.9627378341296,32,Main,interest
34.703463762913,33,Main,interest
34.4555215751117,34,Main,interest
34.2192425662518,35,Main,interest
33.9948585028745,36,Main,interest
33.7825014041578,37,Main,interest
33.5821874538541,38,Main,interest
33.3937992571726,39,Main,interest
33.2170758114865,40,Main,interest
0.150442134374119,1,Main,inflation
3.04366462664434,2,Main,inflation
6.36859050777759,3,Main,inflation
8.15285450186106,4,Main,inflation
8.83060780867893,5,Main,inflation
8.81328362230826,6,Main,inflation
8.45437590197379,7,Main,inflation
8.03042433986004,8,Main,inflation
7.70474833474482,9,Main,inflation
7.55525684505346,10,Main,inflation
7.59908103610108,11,Main,inflation
7.81575062448961,12,Main,inflation
8.16550797347101,13,Main,inflation
8.60227543037713,14,Main,inflation
9.08198712245317,15,Main,inflation
9.56720722600219,16,Main,inflation
10.029105247126,17,Main,inflation
10.4476925839252,18,Main,inflation
10.8110295276577,19,Main,inflation
11.1139034732312,20,Main,inflation
11.3563146167046,21,Main,inflation
11.5419825225365,22,Main,inflation
11.6770015657572,23,Main,inflation
11.7687141644231,24,Main,inflation
11.8248294738492,25,Main,inflation
11.8527859913928,26,Main,inflation
