f,fevdfd,impulse,response
0.534605356466732,0.0465700779978698,Main,output
0.540894831248693,0.0463395516506675,Main,output
0.547184306030655,0.0461078039556194,Main,output
0.553473780812616,0.0458748351435068,Main,output
0.559763255594578,0.045640642643085,Main,output
0.566052730376539,0.0454052218606844,Main,output
0.572342205158501,0.0451685668753384,Main,output
0.578631679940462,0.0449306710549154,Main,output
0.584921154722424,0.0446915275986739,Main,output
0.591210629504385,0.0444511300115555,Main,output
0.597500104286347,0.0442094725153975,Main,output
0.603789579068309,0.0439665504020754,Main,output
0.61007905385027,0.0437223603334005,Main,output
0.616368528632232,0.0434769005923894,Main,output
0.622658003414193,0.0432301712902988,Main,output
0.628947478196155,0.0429821745335914,Main,output
0.635236952978116,0.0427329145547617,Main,output
0.641526427760078,0.0424823978107109,Main,output
0.647815902542039,0.0422306330521241,Main,output
0.654105377324001,0.0419776313670653,Main,output
0.660394852105963,0.0417234062017783,Main,output
0.666684326887924,0.0414679733614514,Main,output
0.672973801669886,0.0412113509934946,Main,output
0.679263276451847,0.040953559555663,Main,output
0.685552751233809,0.0406946217711649,Main,output
0.69184222601577,0.040434562572703,Main,output
0.698131700797732,0.0401734090372197,Main,output
0.704421175579693,0.0399111903129461,Main,output
0.710710650361655,0.0396479375402021,Main,output
0.717000125143616,0.0393836837672401,Main,output
0.723289599925578,0.0391184638622963,Main,output
0.72957907470754,0.0388523144228787,Main,output
0.735868549489501,0.0385852736832085,Main,output
0.742158024271463,0.0383173814206217,Main,output
0.748447499053424,0.0380486788616374,Main,output
0.754736973835386,0.0377792085883098,Main,output
0.761026448617347,0.0375090144453974,Main,output
0.767315923399309,0.0372381414488071,Main,output
0.77360539818127,0.0369666356957023,Main,output
0.779894872963232,0.0366945442766035,Main,output
0.786184347745193,0.0364219151897521,Main,output
0.792473822527155,0.03614879725796,Main,output
0.798763297309117,0.0358752400481211,Main,output
0.805052772091078,0.0356012937935225,Main,output
0.81134224687304,0.0353270093190566,Main,output
0.817631721655001,0.0350524379694029,Main,output
0.823921196436963,0.0347776315402249,Main,output
0.830210671218924,0.0345026422123972,Main,output
0.836500146000886,0.0342275224892617,Main,output
0.842789620782847,0.0339523251368915,Main,output
0.849079095564809,0.0336771031273257,Main,output
0.85536857034677,0.0334019095847242,Main,output
0.861658045128732,0.0331267977343823,Main,output
0.867947519910694,0.0328518208545329,Main,output
0.874236994692655,0.0325770322308575,Main,output
0.880526469474617,0.0323024851136226,Main,output
0.886815944256578,0.0320282326773496,Main,output
0.89310541903854,0.0317543279829252,Main,output
0.899394893820501,0.0314808239420563,Main,output
0.905684368602463,0.0312077732839703,Main,output
0.911973843384424,0.0309352285242622,Main,output
0.918263318166386,0.0306632419357888,Main,output
0.924552792948347,0.0303918655215103,Main,output
0.930842267730309,0.0301211509891812,Main,output
0.937131742512271,0.0298511497277943,Main,output
0.943421217294232,0.0295819127856806,Main,output
0.949710692076194,0.0293134908501733,Main,output
0.956000166858155,0.0290459342287444,Main,output
0.962289641640117,0.0287792928315242,Main,output
0.968579116422078,0.0285136161551201,Main,output
0.97486859120404,0.0282489532676495,Main,output
0.981158065986001,0.0279853527949075,Main,output
0.987447540767963,0.027722862907593,Main,output
0.993737015549925,0.0274615313095181,Main,output
1.00002649033189,0.0272014052267307,Main,output
1.00631596511385,0.026942531397482,Main,output
1.01260543989581,0.0266849560629756,Main,output
1.01889491467777,0.0264287249588342,Main,output
1.02518438945973,0.0261738833072291,Main,output
1.03147386424169,0.0259204758096135,Main,output
1.03776333902366,0.0256685466400096,Main,output
1.04405281380562,0.0254181394387993,Main,output
1.05034228858758,0.0251692973069722,Main,output
1.05663176336954,0.0249220628007864,Main,output
1.0629212381515,0.0246764779268026,Main,output
1.06921071293346,0.0244325841372508,Main,output
1.07550018771542,0.0241904223256967,Main,output
1.08178966249739,0.0239500328229716,Main,output
1.08807913727935,0.0237114553933367,Main,output
1.09436861206131,0.0234747292308533,Main,output
1.10065808684327,0.0232398929559314,Main,output
1.10694756162523,0.0230069846120326,Main,output
1.11323703640719,0.0227760416625072,Main,output
1.11952651118916,0.0225471009875428,Main,output
1.12581598597112,0.0223201988812076,Main,output
1.13210546075308,0.0220953710485721,Main,output
1.13839493553504,0.0218726526028941,Main,output
1.144684410317,0.0216520780628545,Main,output
1.15097388509896,0.0214336813498327,Main,output
1.15726335988092,0.0212174957852111,Main,output
1.16355283466289,0.0210035540877018,Main,output
1.16984230944485,0.0207918883706869,Main,output
1.17613178422681,0.0205825301395689,Main,output
1.18242125900877,0.0203755102891248,Main,output
1.18871073379073,0.0201708591008625,Main,output
1.19500020857269,0.0199686062403765,Main,output
1.20128968335466,0.0197687807547027,Main,output
1.20757915813662,0.0195714110696718,Main,output
1.21386863291858,0.0193765249872631,Main,output
1.22015810770054,0.01918414968296,Main,output
1.2264475824825,0.0189943117031106,Main,output
1.23273705726446,0.0188070369622963,Main,output
1.23902653204643,0.0186223507407133,Main,output
1.24531600682839,0.0184402776815723,Main,output
1.25160548161035,0.0182608417885205,Main,output
1.25789495639231,0.0180840664230944,Main,output
1.26418443117427,0.0179099743022079,Main,output
1.27047390595623,0.0177385874956843,Main,output
1.27676338073819,0.0175699274238397,Main,output
1.28305285552016,0.0174040148551246,Main,output
1.28934233030212,0.0172408699038342,Main,output
1.29563180508408,0.0170805120278939,Main,output
1.30192127986604,0.0169229600267307,Main,output
1.308210754648,0.0167682320392375,Main,output
1.31450022942996,0.0166163455418429,Main,output
1.32078970421193,0.0164673173466916,Main,output
1.32707917899389,0.0163211635999493,Main,output
1.33336865377585,0.0161778997802382,Main,output
1.33965812855781,0.0160375406972144,Main,output
1.34594760333977,0.015900100490297,Main,output
1.35223707812173,0.0157655926275574,Main,output
1.35852655290369,0.0156340299047784,Main,output
1.36481602768566,0.0155054244446932,Main,output
1.37110550246762,0.0153797876964124,Main,output
1.37739497724958,0.0152571304350489,Main,output
1.38368445203154,0.0151374627615482,Main,output
1.3899739268135,0.0150207941027344,Main,output
1.39626340159546,0.0149071332115774,Main,output
1.40255287637743,0.0147964881676923,Main,output
1.40884235115939,0.0146888663780756,Main,output
1.41513182594135,0.0145842745780884,Main,output
1.42142130072331,0.0144827188326895,Main,output
1.42771077550527,0.0143842045379291,Main,output
1.43400025028723,0.0142887364227057,Main,output
1.44028972506919,0.0141963185507936,Main,output
1.44657919985116,0.0141069543231447,Main,output
1.45286867463312,0.0140206464804707,Main,output
1.45915814941508,0.0139373971061079,Main,output
1.46544762419704,0.0138572076291699,Main,output
1.471737098979,0.0137800788279897,Main,output
1.47802657376096,0.0137060108338547,Main,output
1.48431604854293,0.0136350031350359,Main,output
1.49060552332489,0.0135670545811123,Main,output
1.49689499810685,0.0135021633875925,Main,output
1.50318447288881,0.0134403271408319,Main,output
1.50947394767077,0.0133815428032472,Main,output
1.51576342245273,0.0133258067188244,Main,output
1.52205289723469,0.0132731146189215,Main,output
1.52834237201666,0.0132234616283619,Main,output
1.53463184679862,0.0131768422718164,Main,output
1.54092132158058,0.0131332504804703,Main,output
1.54721079636254,0.0130926795989713,Main,output
1.5535002711445,0.0130551223926547,Main,output
1.55978974592646,0.0130205710550397,Main,output
1.56607922070843,0.0129890172155913,Main,output
1.57236869549039,0.0129604519477425,Main,output
1.57865817027235,0.0129348657771695,Main,output
1.58494764505431,0.0129122486903118,Main,output
1.59123711983627,0.012892590143132,Main,output
1.59752659461823,0.0128758790701037,Main,output
1.60381606940019,0.0128621038934221,Main,output
1.61010554418216,0.0128512525324258,Main,output
1.61639501896412,0.0128433124132213,Main,output
1.62268449374608,0.0128382704785009,Main,output
1.62897396852804,0.012836113197542,Main,output
1.63526344331,0.0128368265763789,Main,output
1.64155291809196,0.0128403961681347,Main,output
1.64784239287393,0.0128468070835037,Main,output
1.65413186765589,0.0128560440013703,Main,output
1.66042134243785,0.0128680911795552,Main,output
1.66671081721981,0.0128829324656756,Main,output
1.67300029200177,0.0129005513081069,Main,output
1.67928976678373,0.0129209307670341,Main,output
1.68557924156569,0.0129440535255807,Main,output
1.69186871634766,0.0129699019010017,Main,output
1.69815819112962,0.0129984578559286,Main,output
1.70444766591158,0.0130297030096536,Main,output
1.71073714069354,0.0130636186494403,Main,output
1.7170266154755,0.013100185741848,Main,output
1.72331609025746,0.0131393849440574,Main,output
1.72960556503943,0.0131811966151845,Main,output
1.73589503982139,0.0132256008275709,Main,output
1.74218451460335,0.0132725773780379,Main,output
1.74847398938531,0.0133221057990918,Main,output
1.75476346416727,0.0133741653700695,Main,output
1.76105293894923,0.0134287351282116,Main,output
1.76734241373119,0.0134857938796515,Main,output
1.77363188851316,0.0135453202103102,Main,output
1.77992136329512,0.0136072924966853,Main,output
1.78621083807708,0.0136716889165225,Main,output
1.79250031285904,0.0137384874593612,Main,output
1.798789787641,0.0138076659369428,Main,output
1.80507926242296,0.0138792019934725,Main,output
1.81136873720493,0.0139530731157249,Main,output
1.81765821198689,0.0140292566429862,Main,output
1.82394768676885,0.0141077297768217,Main,output
1.83023716155081,0.0141884695906638,Main,output
1.83652663633277,0.0142714530392101,Main,output
1.84281611111473,0.0143566569676268,Main,output
1.8491055858967,0.0144440581205485,Main,output
1.85539506067866,0.0145336331508709,Main,output
1.86168453546062,0.0146253586283274,Main,output
1.86797401024258,0.0147192110478476,Main,output
1.87426348502454,0.0148151668376904,Main,output
1.8805529598065,0.0149132023673482,Main,output
1.88684243458846,0.0150132939552197,Main,output
1.89313190937043,0.0151154178760456,Main,output
1.89942138415239,0.0152195503681054,Main,output
1.90571085893435,0.0153256676401735,Main,output
1.91200033371631,0.015433745878232,Main,output
1.91828980849827,0.0155437612519379,Main,output
