date,shock
2007-07-01,-2.81704863311312
2007-10-01,-3.46133434389352
2008-01-01,2.11672688163331
2008-04-01,-1.3580554710728
2008-07-01,1.99057346476969
2008-10-01,7.76942784585897
2009-01-01,2.65324635964194
2009-04-01,-1.55710653558654
2009-07-01,-1.09351984501913
2009-10-01,-2.93727727397427
2010-01-01,-0.470002034353685
2010-04-01,-0.49771055660317
2010-07-01,-0.927004061327813
2010-10-01,1.59514147505602
2011-01-01,4.96914699045032
2011-04-01,4.6678431421958
2011-07-01,2.77428355616702
2011-10-01,-6.10108291529615
2012-01-01,-3.10632454980872
2012-04-01,2.97742407028899
2012-07-01,0.778571539295008
2012-10-01,2.6510697535607
2013-01-01,-0.618835422649723
2013-04-01,-1.16677449847368
2013-07-01,-1.66449367343758
2013-10-01,-0.291493970778954
